# x,y,z,group (every 3 lines = 1 triangle)
-1.940729,-0.077968,6.407072,2
-0.998328,-0.804591,6.528838,2
-1.940729,-0.077968,6.407072,2
-1.940893,-0.652753,6.425255,2
-0.998328,-1.403773,6.510607,2
-0.998328,-0.804591,6.528838,2
-1.940893,-0.652753,6.425255,2
-0.998328,-1.403773,6.510607,2
-1.940893,-0.652753,6.425255,2
-1.940729,-1.227600,6.407072,2
-1.934593,0.189204,5.052631,2
-2.655374,0.316069,4.900955,2
-2.662709,0.328022,5.501539,2
-1.934593,0.189204,5.052631,2
-2.662709,0.328022,5.501539,2
-1.936426,0.202541,5.655941,2
-2.655374,0.316069,4.900955,2
-3.217150,0.441663,4.726698,2
-3.243259,0.451842,5.316330,2
-2.655374,0.316069,4.900955,2
-3.243259,0.451842,5.316330,2
-2.662709,0.328022,5.501539,2
-2.662709,0.328022,5.501539,2
-3.243259,0.451842,5.316330,2
-3.273992,0.441663,5.791591,2
-2.662709,0.328022,5.501539,2
-3.273992,0.441663,5.791591,2
-2.672834,0.316069,5.984758,2
-1.936426,0.202541,5.655941,2
-2.662709,0.328022,5.501539,2
-2.672834,0.316069,5.984758,2
-1.936426,0.202541,5.655941,2
-2.672834,0.316069,5.984758,2
-1.938958,0.189204,6.142011,2
-3.217150,0.441663,4.726698,2
-2.655374,0.316069,4.900955,2
-2.658622,0.280209,4.339677,2
-3.217150,0.441663,4.726698,2
-2.658622,0.280209,4.339677,2
-3.220859,0.411127,4.176458,2
-2.655374,0.316069,4.900955,2
-1.934593,0.189204,5.052631,2
-1.935405,0.149193,4.490401,2
-2.655374,0.316069,4.900955,2
-1.935405,0.149193,4.490401,2
-2.658622,0.280209,4.339677,2
-2.658622,0.280209,4.339677,2
-1.935405,0.149193,4.490401,2
-1.936999,-0.077968,4.084120,2
-2.658622,0.280209,4.339677,2
-1.936999,-0.077968,4.084120,2
-2.665001,0.075288,3.933407,2
-3.220859,0.411127,4.176458,2
-2.658622,0.280209,4.339677,2
-2.665001,0.075288,3.933407,2
-3.220859,0.411127,4.176458,2
-2.665001,0.075288,3.933407,2
-3.234716,0.238262,3.778331,2
-4.201084,0.563065,5.415834,2
-3.816466,0.553775,5.580899,2
-3.744159,0.562185,5.121909,2
-4.201084,0.563065,5.415834,2
-3.744159,0.562185,5.121909,2
-4.089041,0.570333,4.970743,2
-3.816466,0.553775,5.580899,2
-3.273992,0.441663,5.791591,2
-3.243259,0.451842,5.316330,2
-3.816466,0.553775,5.580899,2
-3.243259,0.451842,5.316330,2
-3.744159,0.562185,5.121909,2
-3.744159,0.562185,5.121909,2
-3.243259,0.451842,5.316330,2
-3.217150,0.441663,4.726698,2
-3.744159,0.562185,5.121909,2
-3.217150,0.441663,4.726698,2
-3.676397,0.553775,4.557867,2
-4.089041,0.570333,4.970743,2
-3.744159,0.562185,5.121909,2
-3.676397,0.553775,4.557867,2
-4.089041,0.570333,4.970743,2
-3.676397,0.553775,4.557867,2
-3.980930,0.563065,4.430294,2
-4.107495,0.430345,5.706116,2
-3.821300,0.394860,5.843365,2
-3.831501,0.528546,5.785410,2
-4.107495,0.430345,5.706116,2
-3.831501,0.528546,5.785410,2
-4.219945,0.541262,5.618648,2
-3.821300,0.394860,5.843365,2
-3.284057,0.238262,6.053512,2
-3.284152,0.411127,5.998718,2
-3.821300,0.394860,5.843365,2
-3.284152,0.411127,5.998718,2
-3.831501,0.528546,5.785410,2
-3.831501,0.528546,5.785410,2
-3.284152,0.411127,5.998718,2
-3.273992,0.441663,5.791591,2
-3.831501,0.528546,5.785410,2
-3.273992,0.441663,5.791591,2
-3.816466,0.553775,5.580899,2
-4.219945,0.541262,5.618648,2
-3.831501,0.528546,5.785410,2
-3.816466,0.553775,5.580899,2
-4.219945,0.541262,5.618648,2
-3.816466,0.553775,5.580899,2
-4.201084,0.563065,5.415834,2
-3.284057,-0.634585,6.053512,2
-3.284025,-0.198899,6.071777,2
-3.817900,0.061083,5.862683,2
-3.284057,-0.634585,6.053512,2
-3.817900,0.061083,5.862683,2
-3.821300,-0.265566,5.843365,2
-3.284025,-0.198899,6.071777,2
-3.284057,0.238262,6.053512,2
-3.821300,0.394860,5.843365,2
-3.284025,-0.198899,6.071777,2
-3.821300,0.394860,5.843365,2
-3.817900,0.061083,5.862683,2
-3.817900,0.061083,5.862683,2
-3.821300,0.394860,5.843365,2
-4.107495,0.430345,5.706116,2
-3.817900,0.061083,5.862683,2
-4.107495,0.430345,5.706116,2
-4.200325,0.269079,5.679537,2
-3.821300,-0.265566,5.843365,2
-3.817900,0.061083,5.862683,2
-4.200325,0.269079,5.679537,2
-3.821300,-0.265566,5.843365,2
-4.200325,0.269079,5.679537,2
-4.107495,0.011870,5.706116,2
-4.107495,0.011870,5.706116,2
-4.200325,0.269079,5.679537,2
-4.349426,0.358073,5.563060,2
-4.107495,0.011870,5.706116,2
-4.349426,0.358073,5.563060,2
-4.219945,0.033516,5.618648,2
-4.200325,0.269079,5.679537,2
-4.107495,0.430345,5.706116,2
-4.219945,0.541262,5.618648,2
-4.200325,0.269079,5.679537,2
-4.219945,0.541262,5.618648,2
-4.349426,0.358073,5.563060,2
-4.349426,0.358073,5.563060,2
-4.219945,0.541262,5.618648,2
-4.201084,0.563065,5.415834,2
-4.349426,0.358073,5.563060,2
-4.201084,0.563065,5.415834,2
-4.328674,0.380192,5.359548,2
-4.219945,0.033516,5.618648,2
-4.349426,0.358073,5.563060,2
-4.328674,0.380192,5.359548,2
-4.219945,0.033516,5.618648,2
-4.328674,0.380192,5.359548,2
-4.199892,0.050239,5.413384,2
-4.199892,0.050239,5.413384,2
-4.328674,0.380192,5.359548,2
-4.201540,0.387565,4.915297,2
-4.199892,0.050239,5.413384,2
-4.201540,0.387565,4.915297,2
-4.084271,0.055813,4.960945,2
-4.328674,0.380192,5.359548,2
-4.201084,0.563065,5.415834,2
-4.089041,0.570333,4.970743,2
-4.328674,0.380192,5.359548,2
-4.089041,0.570333,4.970743,2
-4.201540,0.387565,4.915297,2
-4.201540,0.387565,4.915297,2
-4.089041,0.570333,4.970743,2
-3.980930,0.563065,4.430294,2
-4.201540,0.387565,4.915297,2
-3.980930,0.563065,4.430294,2
-4.078565,0.380192,4.379810,2
-4.084271,0.055813,4.960945,2
-4.201540,0.387565,4.915297,2
-4.078565,0.380192,4.379810,2
-4.084271,0.055813,4.960945,2
-4.078565,0.380192,4.379810,2
-3.973426,0.050239,4.414882,2
-3.973426,0.050239,4.414882,2
-4.078565,0.380192,4.379810,2
-4.070292,0.358073,3.902588,2
-3.973426,0.050239,4.414882,2
-4.070292,0.358073,3.902588,2
-3.967698,0.033516,3.928747,2
-4.078565,0.380192,4.379810,2
-3.980930,0.563065,4.430294,2
-3.973861,0.541262,3.941407,2
-4.078565,0.380192,4.379810,2
-3.973861,0.541262,3.941407,2
-4.070292,0.358073,3.902588,2
-4.070292,0.358073,3.902588,2
-3.973861,0.541262,3.941407,2
-3.917034,0.430345,3.699369,2
-4.070292,0.358073,3.902588,2
-3.917034,0.430345,3.699369,2
-4.003652,0.269079,3.587461,2
-3.967698,0.033516,3.928747,2
-4.070292,0.358073,3.902588,2
-4.003652,0.269079,3.587461,2
-3.967698,0.033516,3.928747,2
-4.003652,0.269079,3.587461,2
-3.913763,0.011870,3.692650,2
-1.940729,-0.077968,6.407072,2
-0.998328,-0.205409,6.510607,2
-0.998328,0.031477,6.455915,2
-1.940729,-0.077968,6.407072,2
-0.998328,0.031477,6.455915,2
-1.940238,0.149193,6.352523,2
-0.998328,-0.205409,6.510607,2
0.045677,-0.262676,6.548505,2
0.045677,-0.024056,6.493813,2
-0.998328,-0.205409,6.510607,2
0.045677,-0.024056,6.493813,2
-0.998328,0.031477,6.455915,2
-0.998328,0.031477,6.455915,2
0.045677,-0.024056,6.493813,2
0.045677,0.018054,6.282858,2
-0.998328,0.031477,6.455915,2
0.045677,0.018054,6.282858,2
-0.998328,0.073280,6.244959,2
-1.940238,0.149193,6.352523,2
-0.998328,0.031477,6.455915,2
-0.998328,0.073280,6.244959,2
-1.940238,0.149193,6.352523,2
-0.998328,0.073280,6.244959,2
-1.938958,0.189204,6.142011,2
-1.938958,0.189204,6.142011,2
-0.998328,0.073280,6.244959,2
-0.998328,0.087215,5.757939,2
-1.938958,0.189204,6.142011,2
-0.998328,0.087215,5.757939,2
-1.936426,0.202541,5.655941,2
-0.998328,0.073280,6.244959,2
0.045677,0.018054,6.282858,2
0.045677,0.032090,5.795837,2
-0.998328,0.073280,6.244959,2
0.045677,0.032090,5.795837,2
-0.998328,0.087215,5.757939,2
-0.998328,0.087215,5.757939,2
0.045677,0.032090,5.795837,2
0.045677,0.018054,5.191619,2
-0.998328,0.087215,5.757939,2
0.045677,0.018054,5.191619,2
-0.998328,0.073280,5.153721,2
-1.936426,0.202541,5.655941,2
-0.998328,0.087215,5.757939,2
-0.998328,0.073280,5.153721,2
-1.936426,0.202541,5.655941,2
-0.998328,0.073280,5.153721,2
-1.934593,0.189204,5.052631,2
0.045677,-0.262676,4.222787,2
-0.998328,-0.205409,4.184889,2
-0.998328,0.031477,4.591173,2
0.045677,-0.262676,4.222787,2
-0.998328,0.031477,4.591173,2
0.045677,-0.024056,4.629071,2
-0.998328,-0.205409,4.184889,2
-1.936999,-0.077968,4.084120,2
-1.935405,0.149193,4.490401,2
-0.998328,-0.205409,4.184889,2
-1.935405,0.149193,4.490401,2
-0.998328,0.031477,4.591173,2
-0.998328,0.031477,4.591173,2
-1.935405,0.149193,4.490401,2
-1.934593,0.189204,5.052631,2
-0.998328,0.031477,4.591173,2
-1.934593,0.189204,5.052631,2
-0.998328,0.073280,5.153721,2
0.045677,-0.024056,4.629071,2
-0.998328,0.031477,4.591173,2
-0.998328,0.073280,5.153721,2
0.045677,-0.024056,4.629071,2
-0.998328,0.073280,5.153721,2
0.045677,0.018054,5.191619,2
-3.913763,0.011870,3.692650,2
-4.003652,0.269079,3.587461,2
-3.705577,0.061083,3.538260,2
-3.913763,0.011870,3.692650,2
-3.705577,0.061083,3.538260,2
-3.695957,-0.265566,3.659189,2
-4.003652,0.269079,3.587461,2
-3.917034,0.430345,3.699369,2
-3.698530,0.394860,3.664474,2
-4.003652,0.269079,3.587461,2
-3.698530,0.394860,3.664474,2
-3.705577,0.061083,3.538260,2
-3.705577,0.061083,3.538260,2
-3.698530,0.394860,3.664474,2
-3.234716,0.238262,3.778331,2
-3.705577,0.061083,3.538260,2
-3.234716,0.238262,3.778331,2
-3.239051,-0.198899,3.645037,2
-3.695957,-0.265566,3.659189,2
-3.705577,0.061083,3.538260,2
-3.239051,-0.198899,3.645037,2
-3.695957,-0.265566,3.659189,2
-3.239051,-0.198899,3.645037,2
-3.233721,-0.634585,3.776286,2
-3.233721,-0.634585,3.776286,2
-3.239051,-0.198899,3.645037,2
-2.667059,-0.443850,3.797843,2
-3.233721,-0.634585,3.776286,2
-2.667059,-0.443850,3.797843,2
-2.664719,-0.963233,3.932828,2
-3.239051,-0.198899,3.645037,2
-3.234716,0.238262,3.778331,2
-2.665001,0.075288,3.933407,2
-3.239051,-0.198899,3.645037,2
-2.665001,0.075288,3.933407,2
-2.667059,-0.443850,3.797843,2
-2.667059,-0.443850,3.797843,2
-2.665001,0.075288,3.933407,2
-1.936999,-0.077968,4.084120,2
-2.667059,-0.443850,3.797843,2
-1.936999,-0.077968,4.084120,2
-1.937514,-0.652753,3.948658,2
-2.664719,-0.963233,3.932828,2
-2.667059,-0.443850,3.797843,2
-1.937514,-0.652753,3.948658,2
-2.664719,-0.963233,3.932828,2
-1.937514,-0.652753,3.948658,2
-1.936929,-1.227600,4.083975,2
0.045677,-0.262676,4.222787,2
0.045677,-0.866243,4.087359,2
-0.998328,-0.804591,4.049460,2
0.045677,-0.262676,4.222787,2
-0.998328,-0.804591,4.049460,2
-0.998328,-0.205409,4.184889,2
0.045677,-0.866243,4.087359,2
0.045677,-1.469812,4.222787,2
-0.998328,-1.403773,4.184888,2
0.045677,-0.866243,4.087359,2
-0.998328,-1.403773,4.184888,2
-0.998328,-0.804591,4.049460,2
-0.998328,-0.804591,4.049460,2
-0.998328,-1.403773,4.184888,2
-1.936929,-1.227600,4.083975,2
-0.998328,-0.804591,4.049460,2
-1.936929,-1.227600,4.083975,2
-1.937514,-0.652753,3.948658,2
-0.998328,-0.205409,4.184889,2
-0.998328,-0.804591,4.049460,2
-1.937514,-0.652753,3.948658,2
-0.998328,-0.205409,4.184889,2
-1.937514,-0.652753,3.948658,2
-1.936999,-0.077968,4.084120,2
0.045677,-1.469812,4.222787,2
0.045677,-0.866243,4.087359,2
1.089683,-0.804591,4.049460,2
0.045677,-1.469812,4.222787,2
1.089683,-0.804591,4.049460,2
1.089683,-1.403773,4.184888,2
0.045677,-0.866243,4.087359,2
0.045677,-0.262676,4.222787,2
1.089683,-0.205409,4.184888,2
0.045677,-0.866243,4.087359,2
1.089683,-0.205409,4.184888,2
1.089683,-0.804591,4.049460,2
1.089683,-0.804591,4.049460,2
1.089683,-0.205409,4.184888,2
2.027030,-0.077968,4.083211,2
1.089683,-0.804591,4.049460,2
2.027030,-0.077968,4.083211,2
2.023644,-0.652753,3.947849,2
1.089683,-1.403773,4.184888,2
1.089683,-0.804591,4.049460,2
2.023644,-0.652753,3.947849,2
1.089683,-1.403773,4.184888,2
2.023644,-0.652753,3.947849,2
2.020265,-1.227600,4.082721,2
0.045677,-1.750541,5.191619,2
-0.998328,-1.682462,5.153721,2
-0.998328,-1.640659,4.591173,2
0.045677,-1.750541,5.191619,2
-0.998328,-1.640659,4.591173,2
0.045677,-1.708431,4.629071,2
-0.998328,-1.682462,5.153721,2
-1.934355,-1.495139,5.052144,2
-1.935225,-1.454944,4.490032,2
-0.998328,-1.682462,5.153721,2
-1.935225,-1.454944,4.490032,2
-0.998328,-1.640659,4.591173,2
-0.998328,-1.640659,4.591173,2
-1.935225,-1.454944,4.490032,2
-1.936929,-1.227600,4.083975,2
-0.998328,-1.640659,4.591173,2
-1.936929,-1.227600,4.083975,2
-0.998328,-1.403773,4.184888,2
0.045677,-1.708431,4.629071,2
-0.998328,-1.640659,4.591173,2
-0.998328,-1.403773,4.184888,2
0.045677,-1.708431,4.629071,2
-0.998328,-1.403773,4.184888,2
0.045677,-1.469812,4.222787,2
-3.980930,0.563065,4.430294,2
-3.676397,0.553775,4.557867,2
-3.674995,0.528546,4.038199,2
-3.980930,0.563065,4.430294,2
