# x,y,z (every 3 lines = 1 triangle)
3.621903,6.865566,2.035982
2.941507,7.362840,2.466543
2.808138,7.283594,2.195640
3.621903,6.865566,2.035982
2.808138,7.283594,2.195640
3.635810,6.805966,1.934586
2.941507,7.362840,2.466543
2.452103,7.442519,2.536149
2.217732,7.461313,2.378226
2.941507,7.362840,2.466543
2.217732,7.461313,2.378226
2.808138,7.283594,2.195640
2.808138,7.283594,2.195640
2.217732,7.461313,2.378226
2.325077,7.451877,2.116290
2.808138,7.283594,2.195640
2.325077,7.451877,2.116290
2.770021,7.375473,1.899733
3.635810,6.805966,1.934586
2.808138,7.283594,2.195640
2.770021,7.375473,1.899733
3.635810,6.805966,1.934586
2.770021,7.375473,1.899733
3.568787,6.869479,1.860419
2.663777,7.822798,2.480583
3.227266,7.876216,2.391530
3.189150,7.968095,2.095623
2.663777,7.822798,2.480583
3.189150,7.968095,2.095623
2.503491,7.974689,2.303213
3.227266,7.876216,2.391530
3.710414,7.024579,2.012748
3.755300,7.020634,1.903219
3.227266,7.876216,2.391530
3.755300,7.020634,1.903219
3.189150,7.968095,2.095623
3.189150,7.968095,2.095623
3.755300,7.020634,1.903219
3.657298,7.028492,1.837184
3.189150,7.968095,2.095623
3.657298,7.028492,1.837184
3.055780,7.888849,1.824720
2.503491,7.974689,2.303213
3.189150,7.968095,2.095623
3.055780,7.888849,1.824720
2.503491,7.974689,2.303213
3.055780,7.888849,1.824720
2.536750,7.832156,2.060724
3.621903,6.865566,2.035982
3.731409,6.910659,2.037408
3.112967,7.617422,2.523505
3.621903,6.865566,2.035982
3.112967,7.617422,2.523505
2.941507,7.362840,2.466543
3.731409,6.910659,2.037408
3.710414,7.024579,2.012748
3.227266,7.876216,2.391530
3.731409,6.910659,2.037408
3.227266,7.876216,2.391530
3.112967,7.617422,2.523505
3.112967,7.617422,2.523505
3.227266,7.876216,2.391530
2.663777,7.822798,2.480583
3.112967,7.617422,2.523505
2.663777,7.822798,2.480583
2.446354,7.711685,2.624124
2.941507,7.362840,2.466543
3.112967,7.617422,2.523505
2.446354,7.711685,2.624124
2.941507,7.362840,2.466543
2.446354,7.711685,2.624124
2.452103,7.442519,2.536149
2.325077,7.451877,2.116290
2.274868,7.724318,2.057315
2.884320,7.634266,1.767759
2.325077,7.451877,2.116290
2.884320,7.634266,1.767759
2.770021,7.375473,1.899733
2.274868,7.724318,2.057315
2.536750,7.832156,2.060724
3.055780,7.888849,1.824720
2.274868,7.724318,2.057315
3.055780,7.888849,1.824720
2.884320,7.634266,1.767759
2.884320,7.634266,1.767759
3.055780,7.888849,1.824720
3.657298,7.028492,1.837184
2.884320,7.634266,1.767759
3.657298,7.028492,1.837184
3.659702,6.915941,1.800397
2.770021,7.375473,1.899733
2.884320,7.634266,1.767759
3.659702,6.915941,1.800397
2.770021,7.375473,1.899733
3.659702,6.915941,1.800397
3.568787,6.869479,1.860419
2.452103,7.442519,2.536149
2.446354,7.711685,2.624124
2.188563,7.821711,2.395084
2.452103,7.442519,2.536149
2.188563,7.821711,2.395084
2.217732,7.461313,2.378226
2.446354,7.711685,2.624124
2.663777,7.822798,2.480583
2.503491,7.974689,2.303213
2.446354,7.711685,2.624124
2.503491,7.974689,2.303213
2.188563,7.821711,2.395084
2.188563,7.821711,2.395084
2.503491,7.974689,2.303213
2.536750,7.832156,2.060724
2.188563,7.821711,2.395084
2.536750,7.832156,2.060724
2.274868,7.724318,2.057315
2.217732,7.461313,2.378226
2.188563,7.821711,2.395084
2.274868,7.724318,2.057315
2.217732,7.461313,2.378226
2.274868,7.724318,2.057315
2.325077,7.451877,2.116290
3.710414,7.024579,2.012748
3.731409,6.910659,2.037408
3.767497,6.869934,1.896170
3.710414,7.024579,2.012748
3.767497,6.869934,1.896170
3.755300,7.020634,1.903219
3.731409,6.910659,2.037408
3.621903,6.865566,2.035982
3.635810,6.805966,1.934586
3.731409,6.910659,2.037408
3.635810,6.805966,1.934586
3.767497,6.869934,1.896170
3.767497,6.869934,1.896170
3.635810,6.805966,1.934586
3.568787,6.869479,1.860419
3.767497,6.869934,1.896170
3.568787,6.869479,1.860419
3.659702,6.915941,1.800397
3.755300,7.020634,1.903219
3.767497,6.869934,1.896170
3.659702,6.915941,1.800397
3.755300,7.020634,1.903219
3.659702,6.915941,1.800397
3.657298,7.028492,1.837184
-0.978340,6.995510,4.538618
-0.280542,7.341856,4.001288
-0.130891,7.254833,4.261071
-0.978340,6.995510,4.538618
-0.130891,7.254833,4.261071
-0.989819,6.944736,4.645000
-0.280542,7.341856,4.001288
0.203338,7.330409,3.873072
0.454766,7.316013,4.002684
-0.280542,7.341856,4.001288
0.454766,7.316013,4.002684
-0.130891,7.254833,4.261071
-0.130891,7.254833,4.261071
0.454766,7.316013,4.002684
0.379610,7.339480,4.274756
-0.130891,7.254833,4.261071
0.379610,7.339480,4.274756
-0.042574,7.354102,4.543562
-0.989819,6.944736,4.645000
-0.130891,7.254833,4.261071
-0.042574,7.354102,4.543562
-0.989819,6.944736,4.645000
-0.042574,7.354102,4.543562
-0.904632,6.999303,4.706582
0.067039,7.744391,3.923535
-0.464545,7.900731,4.069414
-0.376228,8.000000,4.351905
0.067039,7.744391,3.923535
-0.376228,8.000000,4.351905
0.270763,7.874888,4.070809
-0.464545,7.900731,4.069414
-1.035333,7.168616,4.559720
-1.066760,7.178429,4.673487
-0.464545,7.900731,4.069414
-1.066760,7.178429,4.673487
-0.376228,8.000000,4.351905
-0.376228,8.000000,4.351905
-1.066760,7.178429,4.673487
-0.961625,7.172409,4.727684
-0.376228,8.000000,4.351905
-0.961625,7.172409,4.727684
-0.226577,7.912977,4.611688
0.270763,7.874888,4.070809
-0.376228,8.000000,4.351905
-0.226577,7.912977,4.611688
0.270763,7.874888,4.070809
-0.226577,7.912977,4.611688
0.243312,7.753462,4.325220
-0.978340,6.995510,4.538618
-1.078042,7.059022,4.545868
-0.412205,7.619252,3.944972
-0.978340,6.995510,4.538618
-0.412205,7.619252,3.944972
-0.280542,7.341856,4.001288
