# x,y,z (every 3 lines = 1 triangle)
-2.435514,8.722656,7.157880
-2.431079,8.710044,7.151410
-5.818279,8.717343,4.815691
-2.454642,8.758050,7.185729
-2.452364,8.756962,7.182423
-5.839564,8.764260,4.846704
-2.459026,8.735926,7.192019
-2.460348,8.734446,7.193930
-5.847547,8.741744,4.858211
-2.444577,8.723486,7.171026
-2.447439,8.726968,7.175188
-5.834639,8.734266,4.839469
-2.435514,8.722656,7.157880
-2.433455,8.711450,7.154860
-2.431079,8.710044,7.151410
-2.443331,8.742139,7.169277
-2.444577,8.723486,7.171026
-2.441683,8.719967,7.166818
-2.452364,8.756962,7.182423
-2.452813,8.732920,7.182999
-2.450206,8.730188,7.179210
-2.458072,8.754426,7.190693
-2.459026,8.735926,7.192019
-2.457287,8.736015,7.189497
-2.457879,8.734524,7.190351
-2.457687,8.734542,7.190073
-5.844887,8.741840,4.854354
-2.459662,8.734051,7.192935
-2.459359,8.734188,7.192496
-5.846559,8.741486,4.856777
-2.459497,8.733496,7.192693
-2.459773,8.733474,7.193095
-5.846973,8.740773,4.857376
-2.458033,8.733957,7.190572
-2.458243,8.733824,7.190877
-5.845443,8.741122,4.855158
-2.457687,8.734542,7.190073
-2.457840,8.734121,7.190293
-2.457667,8.734318,7.190043
-2.458409,8.734447,7.191119
-2.458470,8.733717,7.191205
-2.458243,8.733824,7.190877
-2.459359,8.734188,7.192496
-2.459226,8.733528,7.192301
-2.459040,8.734297,7.192033
-2.460165,8.733684,7.193663
-2.460054,8.733460,7.193502
-2.459935,8.733884,7.193330
-2.450267,8.646380,7.179036
-2.451554,8.647762,7.180907
-5.838754,8.655060,4.845188
-2.438088,8.657430,7.161410
-2.441218,8.646219,7.165914
-5.828418,8.653517,4.830195
-2.420491,8.675358,7.135947
-2.423890,8.676959,7.140881
-5.811090,8.684257,4.805162
-2.409586,8.745283,7.120351
-2.387316,8.737223,7.088031
-5.774516,8.744521,4.752312
-2.458246,8.739240,7.190898
-2.456953,8.744633,7.189040
-5.844153,8.751932,4.853321
-2.459235,8.631421,7.191996
-2.460072,8.708942,7.193451
-5.847272,8.716240,4.857733
-2.409586,8.745283,7.120351
-2.412164,8.668705,7.123850
-2.406992,8.664167,7.116336
-2.426711,8.750056,7.145200
-2.429765,8.675425,7.149395
-2.426941,8.677067,7.145305
-2.439351,8.751959,7.163536
-2.444728,8.631973,7.170959
-2.441218,8.646219,7.165914
-2.448165,8.751411,7.176317
-2.451554,8.647762,7.180907
-2.450267,8.646380,7.179036
-2.456953,8.744633,7.189040
-2.456248,8.644100,7.187704
-2.455147,8.646414,7.186113
-2.458127,8.714052,7.190647
-2.457298,8.640836,7.189216
-2.457632,8.720055,7.189947
-2.441564,8.581028,7.166212
-2.443965,8.580936,7.169693
-5.831165,8.588235,4.833974
-2.423760,8.606030,7.140470
-2.429670,8.581480,7.148965
-5.816870,8.588778,4.813246
-2.410797,8.688862,7.121931
-2.408875,8.679959,7.119116
-5.796075,8.687258,4.783397
-2.453919,8.726958,7.184585
-2.460348,8.734446,7.193930
-5.847547,8.741744,4.858211
-2.438003,8.686164,7.161376
-2.437727,8.692502,7.160995
-5.824927,8.699800,4.825276
-2.458904,8.652285,7.191580
-2.459420,8.656983,7.192343
-5.846619,8.664282,4.856624
-2.451626,8.616755,7.180915
-2.452455,8.623090,7.182137
-5.839655,8.630389,4.846418
-2.456184,8.580472,7.187411
-2.458684,8.580377,7.191037
-5.845884,8.587675,4.855318
-2.410797,8.688862,7.121931
-2.414030,8.643703,7.126478
-2.410772,8.657934,7.121798
-2.431416,8.713780,7.151910
-2.429670,8.581480,7.148965
-2.421787,8.705218,7.137919
-2.444176,8.723338,7.170444
-2.440828,8.705712,7.165534
-2.431416,8.713780,7.151910
-2.438003,8.686164,7.161376
-2.436791,8.581209,7.159290
-2.437727,8.692502,7.160995
-2.446697,8.668151,7.173927
-2.443965,8.580936,7.169693
-2.442442,8.673995,7.167775
